"","Temperature (°C)","Vres (V)"
"140",-85.4435258683479,0.699942000271762
"141",-85.3825521118848,0.700234611963758
"142",-85.3215783554218,0.700528040814331
"143",-85.2606045989587,0.700823145265265
"144",-85.1996308424956,0.70111951566836
"145",-85.1386570860326,0.701417358874551
"146",-85.0776833295695,0.701717599269904
"147",-85.0167095731064,0.702018427644283
"148",-84.9557358166433,0.702321170043766
"149",-84.8947620601803,0.702624982544311
"150",-84.8337883037172,0.70293049677164
"151",-84.7728145472541,0.703237299617451
"152",-84.711840790791,0.703545598915756
"153",-84.650867034328,0.703856540632714
"154",-84.5898932778649,0.704167878183182
"155",-84.5289195214018,0.704481384081294
"156",-84.4679457649387,0.704795757571043
"157",-84.4069720084757,0.705112286172436
"158",-84.3459982520126,0.705429706654449
"159",-84.2850244955495,0.705748644587701
"160",-84.2240507390865,0.706069558412458
