"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)","Latest: Potential 3 (V)"
275,2.00977,3.87912,2.4591
276,2.00977,3.8779,2.4591
277,2.00977,3.8779,2.45421
278,2.00855,3.8779,2.45421
279,2.00733,3.87668,2.45421
280,2.00733,3.87668,2.44933
281,2.0061,3.87546,2.44933
282,2.00488,3.87546,2.44444
283,2.00488,3.87546,2.44444
284,2.00244,3.87424,2.43956
285,2.00122,3.87424,2.43468
286,2.00122,3.87424,2.43468
287,1.99878,3.87424,2.43468
288,2,3.87302,2.42979
289,1.99878,3.87302,2.42491
290,1.99878,3.87179,2.42491
291,1.99756,3.87179,2.42491
292,1.99634,3.87179,2.42002
293,1.99634,3.87057,2.41514
294,1.99512,3.87057,2.41514
295,1.99267,3.87057,2.41514
296,1.9939,3.87057,2.41026
297,1.99267,3.86935,2.41026
298,1.99267,3.86813,2.40537
299,1.99145,3.86813,2.40537
300,1.99023,3.86813,2.40537
301,1.98901,3.86813,2.40049
302,1.98779,3.86691,2.40049
303,1.98657,3.86691,2.39561
304,1.98657,3.86691,2.39561
305,1.98657,3.86691,2.39072
306,1.98413,3.86569,2.39072
307,1.98657,3.86569,2.38584
308,1.98291,3.86569,2.38584
309,1.98291,3.86447,2.38095
310,1.98291,3.86447,2.38095
311,1.98291,3.86447,2.38095
312,1.98046,3.86325,2.37607
313,1.98046,3.86325,2.37607
314,1.97924,3.86325,2.37607
315,1.97802,3.86325,2.37119
316,1.9768,3.86203,2.37119
317,1.9768,3.86081,2.3663
318,1.97558,3.86081,2.3663
319,1.97558,3.86081,2.3663
320,1.97314,3.86081,2.36142
321,1.97436,3.86081,2.35653
322,1.97192,3.85959,2.35653
323,1.97192,3.85959,2.35653
324,1.9707,3.85836,2.35165
325,1.96948,3.85836,2.35165
326,1.96825,3.85836,2.34676
327,1.96825,3.85836,2.34188
328,1.96703,3.85714,2.34188
329,1.96703,3.85714,2.337
330,1.96581,3.85592,2.337
331,1.96459,3.85592,2.337
332,1.96459,3.8547,2.33211
333,1.96337,3.8547,2.33211
334,1.96337,3.8547,2.32723
335,1.96093,3.8547,2.32723
336,1.95971,3.85348,2.32234
337,1.95971,3.85348,2.32234
338,1.95849,3.85348,2.32234
339,1.95604,3.85226,2.32234
340,1.95727,3.85226,2.31746
341,1.95604,3.85226,2.31258
342,1.95482,3.85104,2.31258
343,1.95482,3.85104,2.30769
344,1.95238,3.84982,2.30769
345,1.95238,3.84982,2.30281
346,1.95116,3.84982,2.30281
347,1.94994,3.84982,2.29792
348,1.94872,3.8486,2.29792
349,1.9475,3.8486,2.29304
350,1.94628,3.84737,2.29304
351,1.94628,3.84737,2.28816
352,1.94383,3.84737,2.28327
353,1.94383,3.84615,2.28327
354,1.94261,3.84615,2.27839
355,1.94261,3.84615,2.27839
356,1.94017,3.84493,2.27351
357,1.94139,3.84493,2.27351
358,1.93895,3.84371,2.26862
359,1.93773,3.84371,2.26862
360,1.93773,3.84371,2.26374
361,1.93651,3.84249,2.26374
362,1.93651,3.84249,2.25885
363,1.93407,3.84127,2.25885
364,1.93529,3.84127,2.25885
365,1.93162,3.84127,2.25397
366,1.9304,3.84005,2.24908
367,1.9304,3.84005,2.24908
368,1.92918,3.83761,2.2442
369,1.92918,3.83639,2.23932
370,1.92796,3.83639,2.23932
371,1.92674,3.83639,2.23932
372,1.92552,3.83517,2.22955
373,1.9243,3.83517,2.22955
374,1.92308,3.83394,2.22955
375,1.92186,3.83394,2.22466
376,1.92063,3.83394,2.22466
377,1.92063,3.83394,2.22466
378,1.91941,3.83272,2.21978
379,1.91819,3.8315,2.2149
380,1.91575,3.8315,2.2149
381,1.91575,3.8315,2.21001
382,1.91453,3.8315,2.20513
383,1.91453,3.83028,2.20024
384,1.91209,3.82906,2.20024
385,1.91087,3.82906,2.19536
386,1.91087,3.82906,2.19536
387,1.90842,3.82784,2.19536
388,1.9072,3.82784,2.18559
389,1.9072,3.82662,2.19048
390,1.9072,3.82662,2.18559
391,1.90354,3.82662,2.18559
392,1.90476,3.8254,2.17583
393,1.90476,3.8254,2.17583
394,1.90232,3.82418,2.17583
395,1.89988,3.82418,2.17094
396,1.89988,3.82418,2.16606
397,1.89744,3.82295,2.16606
398,1.89621,3.82295,2.16117
399,1.89744,3.82173,2.15629
400,1.89621,3.82173,2.15629
401,1.89621,3.82173,2.15629
402,1.89377,3.82051,2.1514
403,1.89377,3.82051,2.14652
404,1.89255,3.81929,2.14652
405,1.89011,3.81929,2.14164
406,1.88889,3.81929,2.14164
407,1.88889,3.81807,2.14164
408,1.88889,3.81685,2.13187
409,1.88645,3.81685,2.13187
410,1.88645,3.81685,2.13187
411,1.88523,3.81685,2.12698
