"Data Set: T (°C)","Data Set: Ek (mV)","Data Set: Calculated T4","Data Set: Error4 (°C)","Data Set: CalcT5","Data Set: Err5 (°C)"
178,7.26,178.115115356,-0.115115355715,177.647354896,0.352645103531
179,7.3,179.071652746,-0.0716527458452,178.674240817,0.325759183255
180,7.34,180.026248581,-0.0262485807144,179.704000125,0.295999874623
181,7.38,180.978850478,0.0211495220932,180.7367192,0.263280800499
182,7.42,181.929405515,0.0705944848652,181.77248593,0.227514069659
183,7.46,182.87786023,0.12213976976,182.811389736,0.188610263817
184,7.5,183.824160621,0.175839378809,183.853521575,0.146478424657
185,7.54,184.768252146,0.231747853913,184.898973959,0.101026040863
186,7.579,185.686562071,0.313437929242,185.92157691,0.0784230902224
187,7.619,186.62612875,0.373871250192,186.973865258,0.026134741862
188,7.659,187.563321108,0.436678891516,188.029758682,-0.0297586820843
189,7.699,188.498082459,0.501917541103,189.089355994,-0.0893559943607
190,7.739,189.430355573,0.569644426718,190.152757625,-0.15275762524
191,7.779,190.360082684,0.639917315994,191.220065635,-0.220065635493
192,7.819,191.287205484,0.712794516437,192.291383729,-0.29138372936
193,7.859,192.211665125,0.788334875425,193.366817268,-0.366817267522
194,7.899,193.13340222,0.866597780207,194.44647328,-0.446473280067
195,7.939,194.052356842,0.947643157903,195.530460479,-0.530460479466
196,7.979,194.968468524,1.03153147551,196.618889274,-0.618889273538
197,8.019,195.88167626,1.11832373988,197.711871778,-0.711871778424
198,8.059,196.791918502,1.20808149775,198.809521832,-0.809521831557
199,8.099,197.699133164,1.30086683574,199.911955005,-0.91195500463
200,8.138,198.580692676,1.41930732411,200.9915446,-0.99154460038
