"Data Set: T (°C)","Data Set: Ek (mV)","Data Set: Calculated T4","Data Set: Error4 (°C)","Data Set: CalcT5","Data Set: Err5 (°C)"
-121,-4.166,-121.912401636,0.912401635553,-121.060243369,0.0602433691935
-120,-4.138,-120.87134696,0.871346960231,-120.027991333,0.0279913328836
-119,-4.11,-119.834757123,0.834757123238,-119.001023242,0.00102324153048
-118,-4.082,-118.802597113,0.802597112906,-117.979275338,-0.0207246624954
-117,-4.054,-117.774832047,0.774832047192,-116.962684391,-0.0373156089233
-116,-4.025,-116.714957206,0.714957206021,-115.915156252,-0.0848437479008
-115,-3.997,-115.696031748,0.696031747811,-114.908870206,-0.0911297941943
-114,-3.968,-114.645238059,0.645238058881,-113.871882148,-0.128117851754
-113,-3.939,-113.599007936,0.599007936182,-112.840155629,-0.159844371003
-112,-3.911,-112.593149283,0.593149283107,-111.848935273,-0.151064727283
-111,-3.882,-111.555778259,0.555778258899,-110.82735481,-0.172645190477
-110,-3.852,-110.487319496,0.487319495801,-109.775875241,-0.224124759153
-109,-3.823,-109.458964914,0.458964914134,-108.764527765,-0.235472235153
-108,-3.794,-108.434985283,0.434985282534,-107.758111213,-0.241888786662
-107,-3.764,-107.380260175,0.380260174605,-106.722111039,-0.277888961291
-106,-3.734,-106.330135951,0.33013595122,-105.69124823,-0.308751769604
-105,-3.705,-105.319350792,0.319350791961,-104.699565114,-0.300434885938
-104,-3.675,-104.278155741,0.278155740553,-103.678602363,-0.321397636767
-103,-3.645,-103.241440654,0.241440653503,-102.662571387,-0.337428613002
-102,-3.614,-102.174831914,0.174831913698,-101.617781583,-0.382218416714
-101,-3.584,-101.147101616,0.147101615636,-100.611569516,-0.388430483944
-100,-3.554,-100.123729199,0.123729198892,-99.6100849355,-0.389915064477
-99,-3.523,-99.0707801804,0.0707801804461,-98.5801138692,-0.419886130779
-98,-3.492,-98.0223979689,0.0223979688652,-97.5550480254,-0.444951974572
-97,-3.462,-97.0121416399,0.0121416399381,-96.5676519562,-0.432348043823
-96,-3.431,-95.9726184828,-0.0273815172357,-95.5520304191,-0.447969580919
-95,-3.4,-94.9375331858,-0.0624668142454,-94.5411042022,-0.458895797818
-94,-3.368,-93.8736672916,-0.126332708414,-93.5024189457,-0.497581054305
-93,-3.337,-92.8474683938,-0.152531606234,-92.5008220368,-0.499177963176
-92,-3.306,-91.8255773779,-0.174422622103,-91.5037124748,-0.496287525203
-91,-3.274,-90.7751956778,-0.224804322163,-90.4790736979,-0.520926302144
-90,-3.243,-89.7619287315,-0.238071268502,-89.4908773768,-0.509122623203
-89,-3.211,-88.7203593941,-0.279640605863,-88.4752984634,-0.524701536604
-88,-3.179,-87.6831976957,-0.316802304321,-87.464214809,-0.535785191042
-87,-3.147,-86.6503977935,-0.34960220647,-86.4575556494,-0.542444350627
-86,-3.115,-85.6219140662,-0.378085933768,-85.4552509975,-0.544749002544
-85,-3.083,-84.5977011135,-0.402298886547,-84.4572316387,-0.542768361305
-84,-3.05,-83.5459067482,-0.454093251795,-83.4324400053,-0.567559994675
-83,-3.018,-82.5302299509,-0.46977004909,-82.4429152379,-0.557084762092
-82,-2.986,-81.5186876595,-0.48131234053,-81.4574706345,-0.542529365474
-81,-2.953,-80.4798179003,-0.520182099704,-80.4454343104,-0.554565689638
-80,-2.92,-79.4452491912,-0.554750808776,-79.4375951052,-0.562404894763
-79,-2.887,-78.4149332153,-0.585066784701,-78.4338821612,-0.566117838822
-78,-2.854,-77.3888219057,-0.61117809434,-77.43422546,-0.565774540012
-77,-2.821,-76.3668674455,-0.633132554455,-76.4385558183,-0.561444181704
-76,-2.788,-75.3490222683,-0.650977731716,-75.4468048826,-0.553195117404
-75,-2.755,-74.3352390573,-0.664760942694,-74.4589051243,-0.541094875706
-74,-2.721,-73.2949338864,-0.705066113643,-73.4450265391,-0.554973460902
-73,-2.688,-72.2892531754,-0.710746824633,-72.4647414887,-0.535258511321
-72,-2.654,-71.2571968981,-0.74280310194,-71.4585693369,-0.541430663081
-71,-2.62,-70.229251271,-0.770748728989,-70.4562031184,-0.543796881575
-70,-2.587,-69.2354227237,-0.764577276257,-69.4868922442,-0.513107755826
-69,-2.553,-68.2154303597,-0.784569640301,-68.4918237917,-0.5081762083
-68,-2.519,-67.1993998678,-0.800600132178,-67.5003578488,-0.499642151203
-67,-2.485,-66.1872817239,-0.81271827611,-66.5124276991,-0.487572300947
-66,-2.45,-65.1494301047,-0.85056989528,-65.499064655,-0.500935344986
-65,-2.416,-64.1451006537,-0.854899346299,-64.5181086224,-0.481891377561
-64,-2.382,-63.1445352414,-0.855464758612,-63.5404916091,-0.459508390916
-63,-2.347,-62.1184221241,-0.881577875865,-62.5375422584,-0.462457741568
-62,-2.312,-61.0961939672,-0.903806032843,-61.5379962391,-0.4620037609
-61,-2.278,-60.1068429075,-0.89315709254,-60.5702039374,-0.429796062602
-60,-2.243,-59.0921212065,-0.907878793488,-59.5771718384,-0.422828161616
-59,-2.208,-58.081130413,-0.918869587044,-58.5873465893,-0.412653410655
-58,-2.173,-57.0738193105,-0.926180689522,-57.60066393,-0.399336070009
-57,-2.138,-56.0701369992,-0.929863000775,-56.6170605273,-0.38293947267
-56,-2.103,-55.0700328958,-0.929967104193,-55.636473969,-0.363526030986
-55,-2.067,-54.0450344707,-0.954965529279,-54.6309532576,-0.369046742376
-54,-2.032,-53.052034939,-0.947965061011,-53.6562986262,-0.343701373795
-53,-1.996,-52.0342387121,-0.965761287907,-52.6567520926,-0.343247907385
-52,-1.961,-51.0481395403,-0.951860459726,-51.6877838547,-0.312216145311
-51,-1.925,-50.0373368238,-0.962663176205,-50.6939627874,-0.306037212612
-50,-1.889,-49.0300012475,-0.969998752549,-49.7029521761,-0.297047823919
-49,-1.854,-48.0539212653,-0.946078734721,-48.7421061176,-0.257893882428
-48,-1.818,-47.0532698312,-0.94673016878,-47.7564604504,-0.243539549603
-47,-1.782,-46.0559302391,-0.944069760854,-46.7734467354,-0.22655326461
-46,-1.745,-45.0342836739,-0.96571632613,-45.7658085658,-0.234191434179
-45,-1.709,-44.0435018954,-0.956498104633,-44.7879543482,-0.212045651837
-44,-1.673,-43.0558769753,-0.944123024667,-43.812558915,-0.187441084992
-43,-1.637,-42.0713584399,-0.92864156011,-42.8395669602,-0.16043303978
-42,-1.6,-41.0626764748,-0.937323525237,-41.8419948147,-0.158005185263
-41,-1.564,-40.0843035106,-0.915696489384,-40.8737106,-0.126289399953
-40,-1.527,-39.0818330617,-0.918166938287,-39.8808649941,-0.119135005899
-39,-1.49,-38.082431579,-0.917568421049,-38.8903312433,-0.10966875665
